id_dane;state;municipality;depto;mpio;y_total;SGP_total;pobl_tot;indrural;discapital;areaoficialkm2;pobreza;gini;pib_cons;pib_percapita_cons;pib_total;pib_agricola;ind_alfa;anos_est_mun;TMI;tpobc_FARC;tpobc_ELN;tpobc_DESC;tpobc_AUC;enfr_FARC;enfr_ELN;enfr_DESC;enfr_AUC;desmovilizados;desplazados_expulsion;desplazados_recepcion;polalgn_2011;margin_2011;sample_2011;polalgn_2015;margin_2015;sample_2015
5315;ANTIOQUIA;GUADALUPE;1;140;4049.0675002;2556.69933475;6219.8;0.6985459327697754;79.99882507324219;88;0.6299999952316284;0.5062000155448914;38680.5109375;6.31780252456665;41390.634765625;7223.970654296875;81.80683898925781;6.364737033843994;24.82;7;4;3;0;0;0;0;0;5;650;180;0;NA;0;0;NA;0
5318;ANTIOQUIA;GUARNE;1;142;11702.1723442;4617.233324;39066.9;0.6473754703998565;23.40586280822754;153;0.47049999237060547;0.4666999876499176;406145.38125;9.718136978149413;367054.840625;4391.088891601563;92.09083557128906;8.741471290588379;12.536;0;2;13;10;0;0;0;0;0;659;1796;1;1.3037588892651577;1;0;-10.259999999999998;0
5321;ANTIOQUIA;GUATAPE;1;145;6028.355151000001;1973.041147375;5863.1;0.27573502957820895;53.647743225097656;70;0.47049999237060547;0.4666999876499176;52717.79453125;9.291308975219726;43916.855859375;1695.5373413085938;95.71501159667969;8.870357513427734;16.44;0;2;3;2;0;0;0;0;2;1670;1153;0;-17.64998755290017;0;0;NA;0
5347;ANTIOQUIA;HELICONIA;1;148;3505.79136;2334.98857025;6687.1;0.5828624904155731;14.90402603149414;118;0.6299999952316284;0.5062000155448914;38056.63203125;6.006973075866699;42059.24375;13486.387890625;85.16767883300781;6.458652019500732;17.754;0;0;6;3;0;0;0;0;0;1463;444;0;-25.138580931263864;0;0;NA;0
5353;ANTIOQUIA;HISPANIA;1;150;3253.0394180000003;1908.476602125;4806.1;0.3751144766807556;60.2392692565918;59;0.582099974155426;0.48899999260902405;53341.671875;11.139695358276366;55696.755078125;7614.344140625;81.40234375;6.84737491607666;18.37;0;0;0;0;0;0;0;0;0;102;112;0;NA;0;0;NA;0
5360;ANTIOQUIA;ITAGUI;1;151;112462.8314;46823.711981875;232936.5;0.09328578859567642;11.8764009475708;17;0.2824999988079071;0.4025000035762787;3109102.05;13.000725936889648;2730165.725;3312.0137939453125;96.90769958496094;10.172144889831543;7.916;1;1;48;0;0;0;0;0;7;1535;10712;0;NA;0;0;NA;0
5361;ANTIOQUIA;ITUANGO;1;154;10975.109783;7235.96552075;25230.1;0.7620905995368957;102.10045623779297;2375;0.6299999952316284;0.5062000155448914;125399.721875;5.414750480651856;137390.82109375;44428.65078125;68.3858871459961;5.366081237792969;30.048000000000002;17;1;8;1;9;0;0;13;120;22644;12284;0;NA;0;0;NA;0
5364;ANTIOQUIA;JARDIN;1;157;4916.3647121;2981.820772;14434.9;0.5188225388526917;80.225250244140625;227;0.582099974155426;0.48899999260902405;165951.871875;11.767419815063477;182754.275;30980.066015625;92.18608093261719;7.544822692871094;14.706;3;1;3;0;0;0;0;0;2;849;399;0;NA;0;0;NA;0
5368;ANTIOQUIA;JERICO;1;160;6343.0192465;2929.76682775;13026.8;0.40490350425243377;58.189022064208984;195;0.582099974155426;0.48899999260902405;122280.3296875;10.111521148681641;138577.7390625;30934.041796875;90.4582290649414;7.8967204093933105;16.996;0;5;2;0;0;0;0;0;1;177;174;0;-36.776236429433055;0;0;NA;0
5376;ANTIOQUIA;LA CEJA;1;163;15206.6101936;4845.222273375;45972.3;0.17751210331916809;40.115936279296875;133;0.47049999237060547;0.4666999876499176;445761.7125;9.31821346282959;349598.071875;9179.948583984375;95.25993347167969;9.132635116577148;10.604;0;1;13;8;0;0;0;0;5;1415;4922;0;-6.43747893495113;1;1;16.519999999999996;0
5380;ANTIOQUIA;LA ESTRELLA;1;166;16846.458387;5448.089967125;52169.7;0.438155734539032;14.801219940185547;35;0.2824999988079071;0.4025000035762787;426109.53125;7.750821971893311;381690.05;82.1839614868164;96.27998352050781;9.7159271240234375;11.14;1;0;11;0;0;0;0;0;0;221;1807;1;15.098135646264588;0;1;44.14999999999999;0
5390;ANTIOQUIA;LA PINTADA;1;170;4886.1218865;2290.511158;7113.8;0.20130091458559035;60.466190338134766;55;0.582099974155426;0.48899999260902405;80168.48125;12.069730758666992;57331.763671875;661.5808959960938;83.530426025390625;6.948980331420898;16.076;0;0;4;0;0;0;0;0;0;732;309;0;NA;0;1;15.969999999999999;0
5400;ANTIOQUIA;LA UNION;1;169;5416.9053249;2752.1928775;17642.9;0.48806129992008207;49.46942901611328;200;0.47049999237060547;0.4666999876499176;191530.921875;10.630077934265136;167814.1234375;21014.439453125;95.19183349609375;7.778002738952637;13.758;6;13;15;7;1;0;0;1;5;5447;5640;0;NA;0;0;NA;0
5411;ANTIOQUIA;LIBORINA;1;172;3515.9503222999997;2372.66800975;9474.8;0.8028323471546173;54.48921203613281;220;0.6299999952316284;0.5062000155448914;68002.83828125;7.46138105392456;65561.872265625;14965.69912109375;88.60541534423828;6.699697017669678;18.078;0;0;0;0;0;0;0;0;1;1306;555;0;NA;0;0;NA;0
5425;ANTIOQUIA;MACEO;1;175;7319.8794718;2727.247135125;7642.4;0.6059036791324616;106.98153686523438;436;0.6299999952316284;0.5062000155448914;83599.8125;11.46814422607422;86127.86875;15245.12412109375;85.56267547607422;6.8656415939331055;15.14;0;0;6;1;0;1;0;1;2;1158;709;1;14.209375759047845;0;1;1.3500000000000014;1
5440;ANTIOQUIA;MARINILLA;1;178;13388.1918417;5213.22125625;45260.4;0.29354330003261564;38.152957916259766;116;0.47049999237060547;0.4666999876499176;421742.35625;8.93628387451172;385313.259375;47033.88203125;95.87442779541016;8.782276153564453;11.04;0;2;18;11;0;1;0;1;3;3285;7446;1;36.097919216646275;0;0;-53.58;0
5467;ANTIOQUIA;MONTEBELLO;1;181;3978.5454155;2326.91208725;7581.4;0.7372709035873413;42.719295501708984;84;0.582099974155426;0.48899999260902405;63635.68046875;9.076595401763916;67143.4203125;18031.16083984375;93.46443939208984;6.6605939865112305;17.6;1;3;7;6;2;0;0;4;1;4021;1263;0;NA;0;0;NA;0
5475;ANTIOQUIA;MURINDO;1;184;3565.3412679000003;3560.726096125;3684.4;0.6946375370025635;142.42771911621094;1365;0.6565999984741211;0.5135999917984009;NA;NA;7697.26650390625;1734.0816284179687;66.75749206542969;4.192049026489258;52.282000000000004;5;0;1;0;0;0;0;1;47;2404;3539;0;NA;0;0;NA;0
5480;ANTIOQUIA;MUTATA;1;187;6069.6320273;4544.696829625;16183.9;0.7395714044570922;145.40078735351562;1119;0.6565999984741211;0.5135999917984009;69250.5953125;7.509459495544434;58043.755859375;8629.316259765625;70.02256774902344;5.3249430656433105;29.018;25;0;4;1;5;0;0;6;14;11526;5233;1;20.304386750223813;0;0;NA;0
5483;ANTIOQUIA;NARINO;1;190;4932.1322879;3074.712793;15501.7;0.8359809517860413;92.5254898071289;317;0.47049999237060547;0.4666999876499176;105123.646875;9.949372100830079;152850.80546875;29877.9806640625;85.17626953125;5.900129795074463;19.25;15;1;6;0;0;0;0;0;27;15198;5523;0;NA;0;0;-3.299999999999997;1
5490;ANTIOQUIA;NECOCLI;1;192;14157.4285692;9432.505202375;47196.8;0.7660487413406372;263.69097900390625;1377;0.6565999984741211;0.5135999917984009;283553.109375;5.481836223602295;372055.409375;148777.63125;78.470977783203125;5.985214710235596;37.333999999999996;1;0;4;1;0;0;0;0;6;9478;3516;0;NA;0;0;NA;0
5495;ANTIOQUIA;NECHI;1;191;6833.9963967;4794.666744125;20314.7;0.4947845548391342;202.73114013671875;925;0.6299999952316284;0.5062000155448914;153474.290625;6.445372581481934;176644.1265625;53173.02109375;78.10448455810547;6.457490921020508;23.99;1;1;4;0;0;0;0;1;7;6274;3492;0;NA;0;0;-17.76;0
